board_size,solutions,duration,max_deep
1,1,0.0019690990447998047,2
2,0,0.0011320114135742188,0
3,0,0.0027599334716796875,0
4,2,0.0062520503997802734,18
5,10,0.015818119049072266,10
6,4,0.08540010452270508,40
7,40,0.2875680923461914,35
8,92,1.3080990314483643,116
9,352,6.1032819747924805,161
10,724,34.53664994239807,417
11,2680,187.88317799568176,1383
